  frus1872p1/d292 1872-02-26 head/from name='Nelson' | head='No. 292. Mr. Nelson to Mr. Fish .' | chap=Mexico. mexico d.Despatches | pocom=one Thomas Henry Nelson | rule=['Thomas Henry Nelson'] 
  frus1875v01/d155 1875-03-31 enclosure/to name='Avery' | head='No. 151. Mr. Avery to Mr. Fish .' | chap=China. china d.Despatches | pocom=one Benjamin Parke Avery | rule=['Benjamin Parke Avery'] 
  frus1881/d315 1881-03-12 enclosure/from name='Lowell' | head='No. 311. Mr. Lowell to Mr. Blaine .' | chap=Great Britain united-kingdom d.Despatches | pocom=one James Russell Lowell | rule=['James Russell Lowell'] 
## B|1861-1899|one:corroborated(dept-tier1) count=17255
  frus1893/d277 1893-09-10 head/to name='Gresham' | head='Mr. Yang Yü to Mr. Gresham .' | chap=China china notesFromFM | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
  frus1888p2/d137 1888-01-23 head/from name='Bayard' | head='No. 850. Mr. Bayard to Mr. Romero .' | chap=Mexico mexico d.Instructions,notesToFM | pocom=one Thomas Francis Bayard | rule=['Thomas Francis Bayard'] 
  frus1874/d634 1873-11-19 head/to name='Fish' | head='No. 632. General Sickles to Mr. Fish .' | chap=Spain. spain d.Despatches | pocom=one Hamilton Fish | rule=['Hamilton Fish'] 
  frus1895p1/d237 1895-03-02 head/to name='Gresham' | head='Mr. Smythe to Mr. Gresham .' | chap=Dominican Republic dominican-republic d.Despatches | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
  frus1899/d2 1899-04-11 head/from name='Hay' | head='Mr. Hay to Mr. Buchanan .' | chap=CorrespondenceArgentine Repu argentina d.Instructions,notesToFM | pocom=one John Milton Hay | rule=['John Milton Hay'] 
  frus1898/d62 1898-01-08 head/to name='Sherman' | head='The Governor of Pennsylvania to Mr. Sherman .' | chap=Austria-Hungary austria d.Despatches | pocom=one John Sherman | rule=['John Sherman'] 
  frus1887/d386 1887-05-16 head/to name='Bayard' | head='No. 386. Mr. Thompson to Mr. Bayard .' | chap=Hayti haiti d.Despatches | pocom=one Thomas Francis Bayard | rule=['Thomas Francis Bayard'] 
  frus1888p2/d35 1887-10-26 head/to name='Bayard' | head='No. 748. Mr. Connery to Mr. Bayard .' | chap=Mexico mexico d.Despatches | pocom=one Thomas Francis Bayard | rule=['Thomas Francis Bayard'] 
  frus1893/d463 1893-11-17 head/to name='Gresham' | head='Señor Romero to Mr. Gresham .' | chap=Mexico mexico notesFromFM | pocom=one Walter Quintin Gresham | rule=['Walter Quintin Gresham'] 
