band	volume	last_two_path_titles	docs
1861-1899	frus1894app2	House Ex. Doc. No. 76, Fifty-third Congress, second session / Message from the President of the United States, transmitting further correspondence relating to the Hawaiian Islands.	2
1861-1899	frus1894app2	Senate Ex. Doc. No. 103, Fifty-third Congress, second session / Message from the President of the United States, transmitting A dispatch from the U. S. minister at Honolulu.	2
1861-1899	frus1894app2	Senate Ex. Doc. No. 117, Fifty-third Congress, second session / Message from the President of the United States, communicating Dispatches from the U. S. minister at Honolulu.	2
1861-1899	frus1896	Greater Republic of Central America / Arbitration of the boundary dispute between Nicaragua and Costa RicaSee also under “Costa Rica.”	2
1861-1899	frus1897	Correspondence with Germany / Criminal jurisdiction over men-of-war’s men.See also p. 456	2
1861-1899	frus1897	Correspondence with Germany / Preservation of records of land commission.	2
1861-1899	frus1897	Correspondence with Great Britain / Performance of duties of chief justice by consular board.	2
1861-1899	frus1897	Dominion Republic / Termination of treaty of friendship, commerce, and navigation	2
1861-1899	frus1863p2	Selections from consular correspondence. / Bavaria.	1
1861-1899	frus1864p4	Correspondence. / Supplement to correspondence with Great Britain.	1
1861-1899	frus1865p3	Barbary states. / Tangiers.	1
1861-1899	frus1865p4	Brunswick	1
1861-1899	frus1865p4	Duchy of Hesse Darmstadt	1
1861-1899	frus1865p4	Hayti [Haiti]	1
1861-1899	frus1865p4	Saxe-Meiningen	1
1861-1899	frus1865p4	Tunis	1
1861-1899	frus1871	Front Matter / Report of the Secretary of War	1
1861-1899	frus1872p2v2	Remainder of papers accompanying the Counter Case of the United States / [624] French passports to persons recruited in Rio for the French military service not viséd by the police here to prevent departure of such persons.	1
1861-1899	frus1872p2v2	[517, 518] Additional memoranda touching neutrality laws and the execution thereof in countries other than the United States and Great Britain. / No. X.—The Netherlands.	1
1861-1899	frus1872p2v2	[517, 518] Additional memoranda touching neutrality laws and the execution thereof in countries other than the United States and Great Britain. / [570] *No. IX.—Russia.	1
1861-1899	frus1872p2v4	I. Report of J.C. Bancroft Davis, agent of the United States / Report.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol I.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol II.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol III.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol IV.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol IX.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol V.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol VI.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol VII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol VIII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol X.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XI.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XIII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XIV.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XIX.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XV.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XVI.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XVII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XVIII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XX.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXI.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXIII.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXIV.	1
1861-1899	frus1872p2v4	II. Protocols of the conferences of the arbitrators / Protocol XXIX.	1
