58D191	2	RG-59
58D332	2	RG-59
58D455	2	RG-59
58D460	2	RG-59
58D562	2	RG-59
58D766	2	RG-59
58F62	2	RG-84
58M27	2	RG-59
59D206	2	RG-59
59D369	2	RG-59
59D38	2	RG-59
59D578	2	RG-59
59F17	2	RG-84
59F222	2	RG-84
59F7	2	RG-84
60D322	2	RG-59
60D641	2	RG-59
61D1	2	RG-59
61D147	2	RG-59
61D220	2	RG-59
61D249	2	RG-59
61D56	2	RG-59
61F14	2	RG-84
62D272	2	RG-59
62F52	2	RG-84
63D106	2	RG-59
63D134	2	RG-59
63D89	2	RG-59
64D230	2	RG-59
64D599	2	RG-59
64D653	2	RG-59
64F22	2	RG-84
65D331	2	RG-59
65D336	2	RG-59
65F98	2	RG-84
66D195	2	RG-59
66D199	2	RG-59
66D304	2	RG-59
66D8	2	RG-59
68F77	2	RG-84
69D258	2	RG-59
69D306	2	RG-59
71D483	2	RG-59
72D204	2	RG-59
72D272	2	RG-59
74D349	2	RG-59
74D417	2	RG-59
75D289	2	RG-59
76F161	2	RG-84
77D22	2	RG-59
77F53	2	RG-84
80D307	2	RG-59
80F162	2	RG-84
84D247	2	RG-59
86D112	2	RG-59
86D184	2	RG-59
86D189	2	RG-59
86D76	2	RG-59
87D37	2	RG-59
88D100	2	RG-59
88D99	2	RG-59
89D169	2	RG-59
89D213	2	RG-59
90D14	2	RG-59
90D36	2	RG-59
90D410	2	RG-59
90D46	2	RG-59
91D371	2	RG-59
92D308	2	RG-59
93D558	2	RG-59
93D592	2	RG-59
94D432	2	RG-59
94D565	2	RG-59
F132	2	RG-84
F135	2	RG-84
F150	2	RG-84
FILE81D109	2	RG-59
00D239	1	RG-59
06D279	1	RG-59
06D379	1	RG-59
16D417	1	RG-59
2016F0003	1	RG-84
428LOTS428AND55D323	1	RG-59
5	1	RG-59
50D270	1	RG-59
52D324	1	RG-59
52D444	1	RG-59
52F17	1	RG-84
52F34	1	RG-84
534D444	1	RG-59
53A441	1	RG-59
53D261	1	RG-59
53D351	1	RG-59
53D46S	1	RG-59
53D544	1	RG-59
53M1	1	RG-59
