rank	docs	cumulative	share	hasNaId	repository	collection	authorityId
277	1	28730	99.9%		Ford Library	Presidential Files of NSC Logged Documents	txt:ford library|presidential files of nsc logged document
278	1	28731	99.9%			Mudd Manuscript Library, Department of Special Collections	txt:|mudd manuscript library
279	1	28732	99.9%		Hoover Institution	Williams Papers	txt:hoover institution|williams paper
280	1	28733	99.9%		Center of Military History	O’Daniel Papers	txt:center of military history|o’daniel paper
281	1	28734	99.9%		Kennedy Library	Papers of Theodore C. Sorensen	txt:kennedy library|papers of theodore c. sorensen
282	1	28735	99.9%		Carter Library	Chief of Staff Files	txt:carter library|chief of staff file
283	1	28736	99.9%		Johnson Library	Halperin Papers	txt:johnson library|halperin paper
284	1	28737	99.9%		Carter Library	Brzezinski Material	txt:carter library|brzezinski material
285	1	28738	99.9%		Nixon	Agency Files	txt:nixon|agency file
286	1	28739	99.9%		Carter Library	Records of the White House Office of Counsel to the President	txt:carter library|records of the white house office of counsel to the president
287	1	28740	99.9%		Carter Library	Country Files	txt:carter library|country file
288	1	28741	99.9%		Ford Library	National Security Council Institutional Files	txt:ford library|national security council institutional file
289	1	28742	99.9%		Ford Library	Memoranda of Conversations, 1973–1977	txt:ford library|memoranda of conversation
290	1	28743	99.9%		Naval Historical	Anderson Papers	txt:naval historical|anderson paper
291	1	28744	99.9%			H. Alexander Smith Papers	txt:|h. alexander smith paper
292	1	28745	99.9%		Johnson Library	Recordings and Transcripts of Telephone Conversations and Meetings	txt:johnson library|recordings and transcripts of telephone conversations and meeting
293	1	28746	99.9%		Reagan Library	Intelligence Directorate	txt:reagan library|intelligence directorate
294	1	28747	99.9%		Johnson Library	Office Files of Ernest Goldstein	txt:johnson library|office files of ernest goldstein
295	1	28748	100.0%		Ford Library	Philip W. Buchen Files	txt:ford library|philip w. buchen file
296	1	28749	100.0%		Nixon	Country Files	txt:nixon|country file
297	1	28750	100.0%			President’s Daily Briefing	txt:|president’s daily briefing
298	1	28751	100.0%		Department of State	WHORM: Subject File PR014–08	txt:department of state|whorm: subject file pr014-08
299	1	28752	100.0%			Mansfield Library, University of Montana, Missoula, Montana	txt:|mansfield library
300	1	28753	100.0%		Department of State	NR002 Natural Resources Classified	txt:department of state|nr002 natural resources classified
301	1	28754	100.0%			Rostow Files	txt:|rostow file
302	1	28755	100.0%		Ford Library	John O. Marsh Files	txt:ford library|john o. marsh file
303	1	28756	100.0%		Ford Library	Ron Nessen Files	txt:ford library|ron nessen file
304	1	28757	100.0%		Ford Library	Papers of Michael Raoul-Duval	txt:ford library|papers of michael raoul-duval
305	1	28758	100.0%		Eisenhower Library	Rand Records	txt:eisenhower library|rand record
306	1	28759	100.0%			Dulles, Allen W., Director of Central Intelligence	txt:|dulle
307	1	28760	100.0%		Truman Library	Charles S. Murphy Files	txt:truman library|charles s. murphy file
308	1	28761	100.0%		Ford Library	White House Special Files	txt:ford library|white house special file
309	1	28762	100.0%		Johnson Library	Memos to the President	txt:johnson library|memos to the president
