creatorNaId,heading,authorityType,recordCount,recordGroupCount,recordGroups,creatorTypes
18222252,"Department of State. Office of the Legal Adviser. Office of the Assistant Legal Adviser for Oceans, Environment and Scientific Affairs. (ca. 1974 - 1982)",organization,22,1,59,Most Recent=20 Predecessor=2
10458494,"Department of State. U.S. Embassy, Greece. (10/30/1942 - )",organization,22,1,84,Most Recent=22
10493232,"Department of State. U.S. Embassy, South Vietnam. (06/25/1952 - 04/29/1975)",organization,22,1,84,Most Recent=22
10479339,Economic Cooperation Administration. Office of the Director of Administration. Organization and Planning Division. (1948 - 1951),organization,22,1,469,Most Recent=5 Predecessor=17
10477452,Foreign Operations Administration. Office of the Deputy Director for Operations. Office of Far Eastern Operations. Program Staff. (08/01/1953 - 06/30/1955),organization,22,1,469,Most Recent=6 Predecessor=16
10478803,"Foreign Operations Administration. Office of the Deputy Director for Operations. Office of Near Eastern, South Asian, and African Operations. (08/01/1953 - 06/30/1955)",organization,22,2,286 469,Most Recent=1 Predecessor=21
10479829,Mutual Security Agency. Office of the Director of Administration. Organization and Planning Division. (1951 - 08/01/1953),organization,22,1,469,Most Recent=12 Predecessor=10
10510603,State-Army-Navy-Air Force Coordinating Committee. (11/05/1947 - 06/30/1949),organization,22,1,353,Most Recent=22
10466253,"U.S. Section, International Waterways Commission. (1902 - 1915)",organization,22,1,76,Most Recent=21 Predecessor=1
10472487,United States and Mexico General and Special Claims Commissions. Agency of the United States. Research and Information Section. (1923 - 1936),organization,22,1,76,Most Recent=22
10472247,"Arbitration by the King of the Netherlands under Terms of the Convention of September 29, 1827, between the United States and Great Britain. (09/29/1827 - 01/12/1831)",organization,21,1,76,Most Recent=21
10475620,Council of Foreign Ministers. Meeting (5th : 1947 : London). U.S. Delegation. (02/1947 - 12/1947),organization,21,1,43,Most Recent=21
10512415,Department of State. Agency for International Development. Bureau for Far East. (11/04/1961 - 06/1967),organization,21,2,286 469,Most Recent=21
17412547,Department of State. Bureau of Administration. Office of Management. Regulations and Procedures Staff. (ca. 1961 - ca. 1965),organization,21,1,59,Most Recent=13 Predecessor=8
10504228,Department of State. Bureau of European Affairs. Office of Soviet Union Affairs. (1972 - 09/15/1983),organization,21,1,59,Most Recent=21
10506652,Department of State. Bureau of European and Canadian Affairs. (09/15/1983 - 01/12/1999),organization,21,1,59,Most Recent=21
10477783,Department of State. International Cooperation Administration. Office of the Deputy Director for Congressional Relations. (06/30/1955 - 11/1961),organization,21,2,286 469,Most Recent=17 Predecessor=4
10479918,Department of State. International Cooperation Administration. Office of the Deputy Director for Operations. Office of Far Eastern Operations. Program Staff. (06/30/1955 - 11/03/1961),organization,21,1,469,Most Recent=20 Predecessor=1
10491473,Department of State. Office of the Legal Adviser. Office of the Assistant Legal Adviser for Management Affairs. (1974 - ca. 1985),organization,21,1,59,Most Recent=21
10463828,"Department of State. U.S. Embassy, Argentina. (01/08/1915 - )",organization,21,1,84,Most Recent=21
10503835,"Department of State. U.S. Embassy, Ecuador. (04/14/1942 - )",organization,21,2,59 84,Most Recent=21
10484690,"Department of State. U.S. Embassy, Guatemala. (05/19/1943 - )",organization,21,1,84,Most Recent=21
10508777,"Department of State. U.S. Embassy, Thailand. (ca. 09/04/1953 - )",organization,21,1,84,Most Recent=21
10477460,Inter-Allied Reparation Agency. U.S. Delegation. (1946 - ca. 1961),organization,21,1,84,Most Recent=21
10477980,Mutual Security Agency. Productivity and Technical Assistance Division. (1951 - 08/01/1953),organization,21,2,286 469,Most Recent=10 Predecessor=11
10477071,Reparation Commission. Section of Reparations and Restitutions in Kind. (ca. 12/1919 - ca. 1930),organization,21,1,43,Most Recent=21
10462214,U.S. Information Agency. Bureau of Information. Office of Information Resources. Library Programs Division. Special Collections Branch. Office of the Historical Librarian. (1995 - 10/01/1999),organization,21,1,306,Most Recent=19 Predecessor=2
10534478,Department of State. Agency for International Development. Bureau for Program and Policy Coordination. Office of International Assistance Coordination. (1970 - 1977),organization,20,1,286,Most Recent=20
10478522,Department of State. Bureau of African Affairs. Office of West African Affairs. (ca. 1960 - 1985 ?),organization,20,1,59,Most Recent=18 Predecessor=2
10477586,Department of State. Bureau of Near Eastern and South Asian Affairs. (08/20/1958 - 08/24/1992),organization,20,1,59,Most Recent=19 Predecessor=1
10493828,Department of State. Bureau of Public Affairs. Office of Educational Exchange. Division of Libraries and Institutes. (1949 - 07/13/1951),organization,20,2,59 306,Most Recent=3 Predecessor=17
10448951,Department of State. Division of Passport Control. (08/13/1918 - 01/16/1926),organization,20,1,59,Most Recent=20
10478283,Department of State. International Cooperation Administration. Executive Secretariat. (06/30/1955 - 11/1961),organization,20,2,286 469,Most Recent=18 Predecessor=2
10462054,Department of State. Office of Special Political Affairs. Division of International Organization Affairs. (12/20/1944 - 01/21/1948),organization,20,2,59 84,Most Recent=7 Predecessor=13
10465106,Department of State. Office of the Assistant Secretary of State for Economic Affairs. Executive Committee on Economic Foreign Policy. (01/1945 - ca. 1952),organization,20,1,353,Most Recent=20
10486956,Department of State. Office of the Secretary. Office of the Science Adviser. (01/13/1958 - 09/14/1962),organization,20,1,59,Most Recent=2 Predecessor=18
10474220,Department of State. Peace Corps. ( 03/03/1961 - 07/01/1971),organization,20,1,490,Most Recent=14 Predecessor=6
10468624,"Department of State. U.S. Embassy, Portugal. (ca. 05/04/1944 - )",organization,20,2,59 84,Most Recent=20
10477664,Department of State. U.S. Mission Berlin. (ca. 1945 - 10/03/1990),organization,20,1,84,Most Recent=19 Predecessor=1
10466252,"Department of State. U.S. Section, Alaska Boundary Tribunal. (1903 - 1906)",organization,20,1,76,Most Recent=19 Predecessor=1
10453200,Office for Emergency Management. Office of the Coordinator of Inter-American Affairs. (07/30/1941 - 03/23/1945),organization,20,2,229 469,Most Recent=9 Predecessor=11
10511440,President (1913-1921 : Wilson). The Inquiry. (1917 - 12/1918),organization,20,1,256,Most Recent=20
10497429,U.S. Information Agency. Research and Reference Service. The Agency Library. (10/04/1961 - 07/01/1966),organization,20,1,306,Most Recent=1 Predecessor=19
10476118,Commission Representing the United States at the Paris Universal Exposition of 1900. (1898 - 1903),organization,19,1,43,Most Recent=19
10476606,"Commission Representing the United States at the Paris Universal Exposition, 1867. (1865 - 1869)",organization,19,1,43,Most Recent=19
10448950,Department of State. Bureau of Citizenship. (05/31/1907 - 08/13/1918),organization,19,1,59,Most Recent=10 Predecessor=9
10474399,Department of State. Bureau of Economic Affairs. (12/20/1944 - 09/15/1972),organization,19,2,59 353,Most Recent=19
10494647,Department of State. Bureau of Public Affairs. Office of Educational Exchange. Division of Overseas Information Centers. (07/13/1951 - 11/1952),organization,19,2,59 306,Predecessor=19
10535865,Department of State. Bureau of Public Affairs. Office of the Deputy Assistant Secretary (International Information and Cultural Affairs). International Educational Exchange Service. (1956 - 06/01/1959),organization,19,1,59,Most Recent=11 Predecessor=8
10472809,Department of State. Division of Current Information. (05/24/1921 - 02/21/1944),organization,19,1,59,Most Recent=12 Predecessor=7
10457414,Department of State. Office of the U.S. High Commissioner for Germany. (09/21/1949 - 05/05/1955),organization,19,2,59 466,Most Recent=17 Predecessor=1 Publisher=1
10509600,Department of State. Office of the Under Secretary of State for Management. (10/01/1978 - ),organization,19,1,59,Most Recent=18 Predecessor=1
10571400,"Murphy, Robert D. (Robert Daniel), 1894-1978",person,19,1,84,Correspondent=1 Originator=18
10473304,U.S. Commission Appointed to Settle Claims against Spain. (04/08/1901 - 05/02/1910),organization,19,1,76,Most Recent=19
10481866,Department of State. Bureau of East Asian and Pacific Affairs. (11/01/1966 - ),organization,18,1,59,Most Recent=17 Predecessor=1
10470108,Department of State. Consular Bureau. (1874 - 08/19/1924),organization,18,1,59,Compiler=1 Most Recent=16 Predecessor=1
10459010,Department of State. Office of International Scientific and Technological Affairs. (1965 - ca. 1969),organization,18,1,59,Most Recent=18
